bibtex_key;title;author;journal;year;source;pages;volume;abstract;document_type;doi;url;affiliation;author_keywords;keywords;publisher;issn;language;note;selection_criteria;created_at;updated_at;created_by;updated_by;status;comments
wierenga_marketing_2017;Marketing {Models} for the {Customer}-{Centric} {Firm};Ascarza, Eva and Fader, Peter S. and Hardie, Bruce G. S.;;2017;SpringerLink;297--329;254;;incollection;10.1007/978-3-319-56941-3_10;http://link.springer.com/10.1007/978-3-319-56941-3_10;;;;Springer International Publishing;;;"ZSCC: NoCitationData[s0]
Series Title: International Series in Operations Research \& Management Science";;44069,72346;44069,72346;sobreiro;;Unclassified;
mandhula_predicting_2020;Predicting the customer’s opinion on amazon products using selective memory architecture-based convolutional neural network;Mandhula, Trupthi and Pabboju, Suresh and Gugulotu, Narsimha;The Journal of Supercomputing;2020;SpringerLink;5923--5947;76;;article;10.1007/s11227-019-03081-4;http://link.springer.com/10.1007/s11227-019-03081-4;;;;;0920-8542, 1573-0484;en;ZSCC: NoCitationData[s0];;44069,72346;44069,72346;sobreiro;;Unclassified;
garcia_intelligent_2017;Intelligent data analysis approaches to churn as a business problem: a survey;García, David L. and Nebot, Àngela and Vellido, Alfredo;Knowledge and Information Systems;2017;SpringerLink;719--774;51;;article;10.1007/s10115-016-0995-z;http://link.springer.com/10.1007/s10115-016-0995-z;;;;;0219-1377, 0219-3116;en;ZSCC: 0000024;;44069,72346;44069,72346;sobreiro;;Unclassified;
rout_clustering_2020;Clustering {Bank} {Customer} {Complaints} on {Social} {Media} for {Analytical} {CRM} via {Multi}-objective {Particle} {Swarm} {Optimization};Gavval, Rohit and Ravi, Vadlamani;;2020;SpringerLink;213--239;871;;incollection;10.1007/978-3-030-33820-6_9;http://link.springer.com/10.1007/978-3-030-33820-6_9;;;;Springer International Publishing;;en;"ZSCC: NoCitationData[s0]
Series Title: Studies in Computational Intelligence";;44069,72346;44069,72346;sobreiro;;Unclassified;
lu_extracting_2017;Extracting optimal actionable plans from additive tree models;Lu, Qiang and Cui, Zhicheng and Chen, Yixin and Chen, Xiaoping;Frontiers of Computer Science;2017;SpringerLink;160--173;11;;article;10.1007/s11704-016-5273-4;http://link.springer.com/10.1007/s11704-016-5273-4;;;;;2095-2228, 2095-2236;en;ZSCC: 0000009;;44069,72346;44069,72346;sobreiro;;Unclassified;
emmanouilidis_improving_2013;Improving {Tree}-{Based} {Classification} {Rules} {Using} a {Particle} {Swarm} {Optimization};Jun, Chi-Hyuck and Cho, Yun-Ju and Lee, Hyeseon;;2013;SpringerLink;9--16;398;;incollection;10.1007/978-3-642-40361-3_2;http://link.springer.com/10.1007/978-3-642-40361-3_2;;;;Springer Berlin Heidelberg;;;"ZSCC: NoCitationData[s0]
Series Title: IFIP Advances in Information and Communication Technology";;44069,72346;44069,72346;sobreiro;;Unclassified;
bajaber_big_2016;Big {Data} 2.0 {Processing} {Systems}: {Taxonomy} and {Open} {Challenges};Bajaber, Fuad and Elshawi, Radwa and Batarfi, Omar and Altalhi, Abdulrahman and Barnawi, Ahmed and Sakr, Sherif;Journal of Grid Computing;2016;SpringerLink;379--405;14;;article;10.1007/s10723-016-9371-1;http://link.springer.com/10.1007/s10723-016-9371-1;;;;;1570-7873, 1572-9184;en;ZSCC: 0000050;;44069,72346;44069,72346;sobreiro;;Unclassified;
neukart_pillars_2017;Pillars of artificial intelligence;Neukart, Florian;;2017;SpringerLink;25--37;;;incollection;10.1007/978-3-658-16176-7_2;http://link.springer.com/10.1007/978-3-658-16176-7_2;;;;Springer Fachmedien Wiesbaden;;en;ZSCC: 0000000;;44069,72346;44069,72346;sobreiro;;Unclassified;
mirkin_topics_2019;Topics in {Substance} of {Data} {Analysis};Mirkin, Boris;;2019;SpringerLink;1--75;;;incollection;10.1007/978-3-030-00271-8_1;http://link.springer.com/10.1007/978-3-030-00271-8_1;;;;Springer International Publishing;;en;"ZSCC: 0000000
Series Title: Undergraduate Topics in Computer Science";;44069,72346;44069,72346;sobreiro;;Unclassified;
bandyopadhyay_model_2019;A model to analyze the challenge of using cyber insurance;Bandyopadhyay, Trid and Mookerjee, Vijay;Information Systems Frontiers;2019;SpringerLink;301--325;21;;article;10.1007/s10796-017-9737-3;http://link.springer.com/10.1007/s10796-017-9737-3;;;;;1387-3326, 1572-9419;en;ZSCC: 0000003;;44069,72346;44069,72346;sobreiro;;Unclassified;
bellatreche_application_2011;An {Application} of {Locally} {Linear} {Model} {Tree} {Algorithm} for {Predictive} {Accuracy} of {Credit} {Scoring};Siami, Mohammad and Gholamian, Mohammad Reza and Basiri, Javad and Fathian, Mohammad;;2011;SpringerLink;133--142;6918;;incollection;10.1007/978-3-642-24443-8_15;http://link.springer.com/10.1007/978-3-642-24443-8_15;;;;Springer Berlin Heidelberg;;;"ZSCC: NoCitationData[s0]
Series Title: Lecture Notes in Computer Science";;44069,72346;44069,72346;sobreiro;;Unclassified;
antipov_applying_2010;Applying {CHAID} for logistic regression diagnostics and classification accuracy improvement;Antipov, Evgeny and Pokryshevskaya, Elena;Journal of Targeting, Measurement and Analysis for Marketing;2010;SpringerLink;109--117;18;;article;10.1057/jt.2010.3;http://link.springer.com/10.1057/jt.2010.3;;;;;1479-1862;en;ZSCC: 0000050;;44069,72346;44069,72346;sobreiro;;Unclassified;
nicoletti_advanced_2016;Advanced {Solutions};Nicoletti, Bernardo;;2016;SpringerLink;122--195;;;incollection;10.1057/9781137553270_5;http://link.springer.com/10.1057/9781137553270_5;;;;Palgrave Macmillan UK;;en;ZSCC: 0000000;;44069,72346;44069,72346;sobreiro;;Unclassified;
yue_learning_2018;Learning from users: a data-driven method of {QoE} evaluation for {Internet} video;Yue, Ting and Wang, Hongbo and Cheng, Shiduan;Multimedia Tools and Applications;2018;SpringerLink;27269--27300;77;;article;10.1007/s11042-018-5918-4;http://link.springer.com/10.1007/s11042-018-5918-4;;;;;1380-7501, 1573-7721;en;ZSCC: 0000007;;44069,72346;44069,72346;sobreiro;;Unclassified;
fildes_forecasting_2008;Forecasting and operational research: a review;Fildes, R and Nikolopoulos, K and Crone, S F and Syntetos, A A;Journal of the Operational Research Society;2008;SpringerLink;1150--1172;59;;article;10.1057/palgrave.jors.2602597;https://www.tandfonline.com/doi/full/10.1057/palgrave.jors.2602597;;;;;0160-5682, 1476-9360;en;ZSCC: 0000286;;44069,72346;44069,72346;sobreiro;;Unclassified;
kuhn_discriminant_2013;Discriminant {Analysis} and {Other} {Linear} {Classification} {Models};Kuhn, Max and Johnson, Kjell;;2013;SpringerLink;275--328;;;incollection;10.1007/978-1-4614-6849-3_12;http://link.springer.com/10.1007/978-1-4614-6849-3_12;;;;Springer New York;;en;ZSCC: 0000023;;44069,72346;44069,72346;sobreiro;;Unclassified;
tamir_fuzzy-based_2015;A {Fuzzy}-{Based} {Approach} to {Survival} {Data} {Mining};Last, Mark and Halpert, Hezi;;2015;SpringerLink;337--359;326;;incollection;10.1007/978-3-319-19683-1_18;http://link.springer.com/10.1007/978-3-319-19683-1_18;;;;Springer International Publishing;;;"ZSCC: NoCitationData[s0]
Series Title: Studies in Fuzziness and Soft Computing";;44069,72347;44069,72347;sobreiro;;Unclassified;
garcia_marquez_strategic_2017;The {Strategic} {Business} {Value} of {Big} {Data};Serrato, Marco and Ramirez, Jorge;;2017;SpringerLink;47--70;;;incollection;10.1007/978-3-319-45498-6_3;http://link.springer.com/10.1007/978-3-319-45498-6_3;;;;Springer International Publishing;;en;ZSCC: NoCitationData[s0];;44069,72347;44069,72347;sobreiro;;Unclassified;
anand_knowledge_2007;Knowledge discovery standards;Anand, Sarabjot Singh and Grobelnik, Marko and Herrmann, Frank and Hornick, Mark and Lingenfelder, Christoph and Rooney, Niall and Wettschereck, Dietrich;Artificial Intelligence Review;2007;SpringerLink;21--56;27;;article;10.1007/s10462-008-9067-4;http://link.springer.com/10.1007/s10462-008-9067-4;;;;;0269-2821, 1573-7462;en;ZSCC: 0000014;;44069,72347;44069,72347;sobreiro;;Unclassified;
skilton_how_2015;How to {Build} the {Right} {Digital} {Enterprise} for {Payoff} and {Monetization};Skilton, Mark;;2015;SpringerLink;155--184;;;incollection;10.1057/9781137477729_5;http://link.springer.com/10.1057/9781137477729_5;;;;Palgrave Macmillan UK;;en;ZSCC: 0000000;;44069,72347;44069,72347;sobreiro;;Unclassified;
al-molhem_social_2019;Social network analysis in {Telecom} data;Al-Molhem, Nour Raeef and Rahal, Yasser and Dakkak, Mustapha;Journal of Big Data;2019;SpringerLink;99;6;;article;10.1186/s40537-019-0264-6;https://journalofbigdata.springeropen.com/articles/10.1186/s40537-019-0264-6;;;;;2196-1115;en;ZSCC: 0000001;;44069,72347;44069,72347;sobreiro;;Unclassified;
silhavy_mining_2016;Mining {Customer} {Behavior} in {Trial} {Period} of a {Web} {Application} {Usage}—{Case} {Study};Matošević, Goran and Bevanda, Vanja;;2016;SpringerLink;335--346;464;;incollection;10.1007/978-3-319-33625-1_30;http://link.springer.com/10.1007/978-3-319-33625-1_30;;;;Springer International Publishing;;;"ZSCC: NoCitationData[s0]
Series Title: Advances in Intelligent Systems and Computing";;44069,72347;44069,72347;sobreiro;;Unclassified;
kuhn_nonlinear_2013;Nonlinear {Classification} {Models};Kuhn, Max and Johnson, Kjell;;2013;SpringerLink;329--367;;;incollection;10.1007/978-1-4614-6849-3_13;http://link.springer.com/10.1007/978-1-4614-6849-3_13;;;;Springer New York;;en;ZSCC: 0000002;;44069,72347;44069,72347;sobreiro;;Unclassified;
baumann_price_2019;The {Price} of {Privacy}: {An} {Evaluation} of the {Economic} {Value} of {Collecting} {Clickstream} {Data};Baumann, Annika and Haupt, Johannes and Gebert, Fabian and Lessmann, Stefan;Business \& Information Systems Engineering;2019;SpringerLink;413--431;61;;article;10.1007/s12599-018-0528-2;http://link.springer.com/10.1007/s12599-018-0528-2;;;;;2363-7005, 1867-0202;en;ZSCC: NoCitationData[s0];;44069,72347;44069,72347;sobreiro;;Unclassified;
atwal_dataops_2020;The {DataOps} {Factory};Atwal, Harvinder;;2020;SpringerLink;249--266;;;incollection;10.1007/978-1-4842-5104-1_10;http://link.springer.com/10.1007/978-1-4842-5104-1_10;;;;Apress;;en;ZSCC: 0000001;;44069,72347;44069,72347;sobreiro;;Unclassified;
kamakura_choice_2005;Choice {Models} and {Customer} {Relationship} {Management};Kamakura, Wagner and Mela, Carl F. and Ansari, Asim and Bodapati, Anand and Fader, Pete and Iyengar, Raghuram and Naik, Prasad and Neslin, Scott and Sun, Baohong and Verhoef, Peter C. and Wedel, Michel and Wilcox, Ron;Marketing Letters;2005;SpringerLink;279--291;16;;article;10.1007/s11002-005-5892-2;http://link.springer.com/10.1007/s11002-005-5892-2;;;;;0923-0645, 1573-059X;en;ZSCC: 0000219;;44069,72347;44069,72347;sobreiro;;Unclassified;
kacprzyk_predictive_2010;Predictive {Modeling} on {Multiple} {Marketing} {Objectives} {Using} {Evolutionary} {Computation};Bhattacharyya, Siddhartha;;2010;SpringerLink;155--179;258;;incollection;10.1007/978-3-642-15606-9_13;http://link.springer.com/10.1007/978-3-642-15606-9_13;;;;Springer Berlin Heidelberg;;;"ZSCC: NoCitationData[s0]
Series Title: Studies in Fuzziness and Soft Computing";;44069,72347;44069,72347;sobreiro;;Unclassified;
10.1145/3195106.3195178;Construction of a Bank Customer Data Warehouse and an Application of Data Mining;Cui, Shaoying and Ding, Ning;;2018;ACM Digital Library;161–166;;In this era of strong competition, data mining can provide effective support to bank operators in their effort to analyze and forecast the real needs of their customers. Applying bank data mining results to the actual business enables banks to develop products that not only meet customer needs but also deliver maximum bank profitability. In this paper, a data mining model for bank customers is established, and after extraction and transformation, the data are loaded into a data warehouse specifically built for that purpose. Using the data mining platform, we conduct multidimensional analysis of the customer information to uncover characteristics of their preferences. The goal of this research is to help facilitate new ideas and methods for the analysis and prediction of bank customer data.;inproceedings;10.1145/3195106.3195178;https://doi.org/10.1145/3195106.3195178;;;Bank customer information, data mining, data warehouse, multidimensional data analysis;Association for Computing Machinery;;;;;44069,72025;44069,72025;sobreiro;;Unclassified;
10.1145/3009977.3010073;Scalable Clustering and Applications;I, Shahid K and Chaudhury, Santanu;;2016;ACM Digital Library;;;"Large scale machine learning is becoming an active research area recently. Most of the existing clustering algorithms cannot handle big data due to its high time and space complexity. Among the clustering algorithms, eigen vector based clustering, such as Spectral clustering, shows very good accuracy, but it has cubic time complexity. There are various methods proposed to reduce the time and space complexity for eigen decomposition such as Nyström method, Lanc-zos method etc. Nyström method has linear time complexity in terms of number of data points, but has cubic time complexity in terms of number of sampling points. To reduce this, various Rank k approximation methods also proposed, but which are less efficient compare to the normalized spectral clustering. In this paper we propose a two step algorithm for spectral clustering to reduce the time complexity toO(nmk + m2k'), by combining both Nyström and Lanczos method, where k is the number of clusters and k' is the rank k approximation of the sampling matrix (k &lt; k' &lt;&lt; m &lt;&lt; n). It shows very good results, with various data sets, image segmentation problems and churn prediction of a telecommunication data set, even with very low sampling (for 10 Million \texttimes{} 10 Million matrix, sampled only 100 columns) with lesser time, which confirms the validity of the algorithm.";inproceedings;10.1145/3009977.3010073;https://doi.org/10.1145/3009977.3010073;;;large scale machine learning, segmentation and grouping;Association for Computing Machinery;;;;;44069,72025;44069,72025;sobreiro;;Unclassified;
10.1145/2808797.2808821;A Case Study for the Churn Prediction in Turksat Internet Service Subscription;Gök, Mehmet and Özyer, Tansel and Jida, Jamal;;2015;ACM Digital Library;1220–1224;;Churn prediction is a customer relationship process that predicts for customers who are at the brink of transferring all the business to competitor. It is predicted by modeling customer behaviors in order to extract patterns. An acquaintance of a customer is more costly than retainment of an existing customer. Churn predictions shed light on members about to leave the service and support promotion activities. These attempts are utilized to avoid subscription cancellation of existing customers. Nowadays, telecommunication companies take churn prediction very serious. They strive for monitoring customers in the business by using various applications in systematic approach. Our study is based on leading internet service providing company, Turksat Satellite Communications and Cable TV Operations Company's customer behavior analysis. It is the leading internet service provider of Turkey operating in telecommunications sector. We have created a two-phase solution utilizing data mining techniques. These are time series clustering and classification techniques.;inproceedings;10.1145/2808797.2808821;https://doi.org/10.1145/2808797.2808821;;;Customer relationship management, data mining, time series clustering, hierarchical clustering, recursive partitioning, churn prediction, classification, support vector machines, k-means clustering;Association for Computing Machinery;;;;;44069,72025;44069,72025;sobreiro;;Unclassified;
10.1145/2594473.2594475;Comprehensible Classification Models: A Position Paper;Freitas, Alex A.;SIGKDD Explor. Newsl.;2014;ACM Digital Library;1–10;15;The vast majority of the literature evaluates the performance of classification models using only the criterion of predictive accuracy. This paper reviews the case for considering also the comprehensibility (interpretability) of classification models, and discusses the interpretability of five types of classification models, namely decision trees, classification rules, decision tables, nearest neighbors and Bayesian network classifiers. We discuss both interpretability issues which are specific to each of those model types and more generic interpretability issues, namely the drawbacks of using model size as the only criterion to evaluate the comprehensibility of a model, and the use of monotonicity constraints to improve the comprehensibility and acceptance of classification models by users.;article;10.1145/2594473.2594475;https://doi.org/10.1145/2594473.2594475;;;decision tree, monotonicity constraint, nearest neighbors, Bayesian network classifiers, decision table, rule induction;Association for Computing Machinery;1931-0145;;;;44069,72025;44069,72025;sobreiro;;Unclassified;
10.1145/1376815.1376817;Bregman Bubble Clustering: A Robust Framework for Mining Dense Clusters;Gupta, Gunjan and Ghosh, Joydeep;ACM Trans. Knowl. Discov. Data;2008;ACM Digital Library;;2;"In classical clustering, each data point is assigned to at least one cluster. However, in many applications only a small subset of the available data is relevant for the problem and the rest needs to be ignored in order to obtain good clusters. Certain nonparametric density-based clustering methods find the most relevant data as multiple dense regions, but such methods are generally limited to low-dimensional data and do not scale well to large, high-dimensional datasets. Also, they use a specific notion of “distance”, typically Euclidean or Mahalanobis distance, which further limits their applicability. On the other hand, the recent One Class Information Bottleneck (OC-IB) method is fast and works on a large class of distortion measures known as Bregman Divergences, but can only find a single dense region. This article presents a broad framework for finding k dense clusters while ignoring the rest of the data. It includes a seeding algorithm that can automatically determine a suitable value for k. When k is forced to 1, our method gives rise to an improved version of OC-IB with optimality guarantees. We provide a generative model that yields the proposed iterative algorithm for finding k dense regions as a special case. Our analysis reveals an interesting and novel connection between the problem of finding dense regions and exponential mixture models; a hard model corresponding to k exponential mixtures with a uniform background results in a set of k dense clusters. The proposed method describes a highly scalable algorithm for finding multiple dense regions that works with any Bregman Divergence, thus extending density based clustering to a variety of non-Euclidean problems not addressable by earlier methods. We present empirical results on three artificial, two microarray and one text dataset to show the relevance and effectiveness of our methods.";article;10.1145/1376815.1376817;https://doi.org/10.1145/1376815.1376817;;;expectation maximization, One Class classification, exponential family, Density-based clustering, Bregman divergences;Association for Computing Machinery;1556-4681;;;;44069,72025;44069,72025;sobreiro;;Unclassified;
10.1145/3185045;The State-of-the-Art in Twitter Sentiment Analysis: A Review and Benchmark Evaluation;Zimbra, David and Abbasi, Ahmed and Zeng, Daniel and Chen, Hsinchun;ACM Trans. Manage. Inf. Syst.;2018;ACM Digital Library;;9;Twitter has emerged as a major social media platform and generated great interest from sentiment analysis researchers. Despite this attention, state-of-the-art Twitter sentiment analysis approaches perform relatively poorly with reported classification accuracies often below 70%, adversely impacting applications of the derived sentiment information. In this research, we investigate the unique challenges presented by Twitter sentiment analysis and review the literature to determine how the devised approaches have addressed these challenges. To assess the state-of-the-art in Twitter sentiment analysis, we conduct a benchmark evaluation of 28 top academic and commercial systems in tweet sentiment classification across five distinctive data sets. We perform an error analysis to uncover the causes of commonly occurring classification errors. To further the evaluation, we apply select systems in an event detection case study. Finally, we summarize the key trends and takeaways from the review and benchmark evaluation and provide suggestions to guide the design of the next generation of approaches.;article;10.1145/3185045;https://doi.org/10.1145/3185045;;;social media, benchmark evaluation, twitter, Sentiment analysis, natural language processing, opinion mining, text mining;Association for Computing Machinery;2158-656X;;;;44069,72025;44069,72025;sobreiro;;Unclassified;
10.1145/2723372;SIGMOD '15: Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data;;;2015;ACM Digital Library;;;"Welcome to SIGMOD 2015 -- officially, the 2015 ACM SIGMOD International Conference on the Management of Data! This year's conference is being held in the beautiful cultural capital of Australia, Melbourne. During the Gold Rush period of the 19th Century, Melbourne was the richest city in the world, and as a result it is filled with many unique neighborhoods and distinctive buildings. In addition to wonderful neighborhoods to explore, the city has great museums and other cultural attractions, as well as a fine multi-cultural atmosphere. For those who would like to explore the outdoors, popular highlights are the Phillip Island Nature Park (90 minutes away), which features wild penguins who return in a parade each day at sunset, and the Great Ocean Road, one of the world's most scenic coastal drives, including the famous towering 12 Apostles.SIGMOD 2015's exciting technical program reflects not only traditional topics, but the database community's role in broader data science and data analytics. The keynote from Laura Haas, ""The Power Behind the Throne: Information Integration in the Age of Data-Driven Discovery"" highlights the role of database and data integration techniques in the growing field of data science. Jignesh Patel's talk, ""From Data to Insights @ Bare Metal Speed,"" explains how hardware and software need to be co-evolved to support the needs of scalable data analytics. Jennifer Widom, winner of the 2015 ACM-W Athena Lecturer Award for fundamental contributions to computer science, will give her award talk, ""Three Favorite Results,"" on Tuesday. Christopher Ré will lead a panel on ""Machine Learning and Databases: The Sound of Things to Come or a Cacophony of Hype?,"" with participants Divyakant Agrawal, Magdalena Balazinska, Michael Cafarella, Michael Jordan, Tim Kraska, and Raghu Ramakrishnan. Of course, there are also 106 research paper presentations, 4 tutorials, 30 demonstrations, and 18 industrial papers. Papers will be presented both as talks during the research sessions, and as part of plenary Poster Sessions.SIGMOD 2015 is preceded by the PhD Workshop, as well as workshops on leading-edge topics like data analytics (DanaC), databases and the Web (WebDB), exploratory search (ExploreDB), managing and mining spatial data (GeoRich), and graph data (GRADES); the New Researcher Symposium will take place on Wednesday. The banquet will be held in a Melbourne landmark, the Town Hall.As in recent years, we had two submission deadlines for SIGMOD this year, one in August and one in November. The review process was journal-style, with multiple rounds of reviews coordinated by the Group Leaders. We accepted 34 of 137 papers from the first deadline and 72 of 278 from the second deadline. The total acceptance rate was about 25.5%, and we believe that the revision processhas improved the quality of the technical program.";proceedings;;;;;;Association for Computing Machinery;;;;;44069,72025;44069,72025;sobreiro;;Unclassified;
10.1145/2487575.2487590;Nonparametric Hierarchal Bayesian Modeling in Non-Contractual Heterogeneous Survival Data;Nagano, Shouichi and Ichikawa, Yusuke and Takaya, Noriko and Uchiyama, Tadasu and Abe, Makoto;;2013;ACM Digital Library;668–676;;"An important problem in the non-contractual marketing domain is discovering the customer lifetime and assessing the impact of customer's characteristic variables on the lifetime. Unfortunately, the conventional hierarchical Bayes model cannot discern the impact of customer's characteristic variables for each customer. To overcome this problem, we present a new survival model using a non-parametric Bayes paradigm with MCMC. The assumption of a conventional model, logarithm of purchase rate and dropout rate with linear regression, is extended to include our assumption of the Dirichlet Process Mixture of regression. The extension assumes that each customer belongs probabilistically to different mixtures of regression, thereby permitting us to estimate a different impact of customer characteristic variables for each customer. Our model creates several customer groups to mirror the structure of the target data set.The effectiveness of our proposal is confirmed by a comparison involving a real e-commerce transaction dataset and an artificial dataset; it generally achieves higher predictive performance. In addition, we show that preselecting the actual number of customer groups does not always lead to higher predictive performance.";inproceedings;10.1145/2487575.2487590;https://doi.org/10.1145/2487575.2487590;;;model choice, mcmc, non-parametric bayes, crm;Association for Computing Machinery;;;;;44069,72025;44069,72025;sobreiro;;Unclassified;
5461170;Clustering analysis of broadband customers and its application in marketing;Y. {Zhang} and C. {Chen} and R. {Zhang};;2010;IEEE Digital Library;1284-1287;3;The thesis briefly introduced data mining and clustering theories. Also through K-Means, ADSL voice multiplex customers are clustered, which caused over 240,000 customers divided into 8 clusters. Further analysis showed that the 8 clusters had distinct differences in basic characters and surfing the net. However, these differences could help X telecom Co. to design pointed sales strategies respectively, so as to improve customer's value, using perception and satisfaction and to reduce customer dropout.;inproceedings;10.1109/ICLSIM.2010.5461170;;;;"data mining;marketing;pattern clustering;telecommunication networks;clustering analysis;broadband customers;marketing application;data mining;K-Means;ADSL voice multiplex customers;net surfing;X telecom Co;customer value;customer dropout;Data mining;Telecommunications;Electronic mail;Communication industry;Business communication;Mobile communication;Databases;Marketing management;Marketing and sales;Information technology;Telecom;Clustering;Marketing";;;;;;44069,72034;44069,72034;sobreiro;;Unclassified;
5351389;A low dropout regulator with over current reminder circuits;W. {Yong-sheng} and L. {Rui-xuan} and Y. {Ming-yan} and L. {Feng-chang};;2009;IEEE Digital Library;1089-1092;;A low voltage, low dropout (LDO) regulator with an over current reminder circuit is proposed in this paper. Based on SMIC 0.18 ¿m mix signal CMOS process, the circuit is able to drive a load up to 120 mA, and it can give an over current warning to the customer when the load current is over 120 mA, and when the load current drops down to 110 mA the warning will be recalled. By using the pole-zero tracking frequency compensation, the ripple of the output voltage between 28 mV~30 mV when a current pulse draws-out from the LDO.;inproceedings;10.1109/ASICON.2009.5351389;;;;"mixed analogue-digital integrated circuits;voltage regulators;low dropout regulator;current reminder circuits;low voltage regulator;SMIC mix signal CMOS process;pole-zero tracking frequency compensation;current pulse;size 0.18 mum;voltage 28 mV to 30 mV;Regulators;Circuits;Frequency;Protection;Stability;Low voltage;Energy management;Power system management;Immune system;Poles and zeros;low dropout (LDO) regulator;over current reminder circuit;pole-zero tracking frequency compensation";;2162-755X;;;;44069,72034;44069,72034;sobreiro;;Unclassified;
