Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Support Vector Machines for Predicting Customer Activity and Future Best Customers in Non-Contractual Settings","Analytical CRM","","","","10.1007/978-3-8349-8121-9_5","","2009","http://link.springer.com/chapter/10.1007/978-3-8349-8121-9_5","Chapter"
"Supervised Classification for Decision Support in Customer Relationship Management","Intelligent Decision Support","","","","10.1007/978-3-8349-9777-7_14","Stefan LessmannStefan Voß","2008","http://link.springer.com/chapter/10.1007/978-3-8349-9777-7_14","Chapter"
"Machine Learning and Big Data","Advanced Methods for Modeling Markets","","","","10.1007/978-3-319-53469-5_19","Raoul V. KüblerJaap E. WieringaKoen H. Pauwels","2017","http://link.springer.com/chapter/10.1007/978-3-319-53469-5_19","Chapter"
"A churn prediction model for prepaid customers in telecom using fuzzy classifiers","Telecommunication Systems","","66","4","10.1007/s11235-017-0310-7","Muhammad AzeemMuhammad UsmanA. C. M. Fong","2017","http://link.springer.com/article/10.1007/s11235-017-0310-7","Article"
"Applying Fuzzy Data Mining to Telecom Churn Management","Intelligent Computing and Information Science","","","","10.1007/978-3-642-18129-0_41","Kuo-Hsiung LiaoHao-En Chueh","2011","http://link.springer.com/chapter/10.1007/978-3-642-18129-0_41","Chapter"
"Marketing Meets Data Science: Bridging the Gap","Business and Consumer Analytics: New Ideas","","","","10.1007/978-3-030-06222-4_1","Pablo MoscatoNatalie Jane de Vries","2019","http://link.springer.com/chapter/10.1007/978-3-030-06222-4_1","Chapter"
"Data Analytics and Its Application in Various Industries","Applied Analytics through Case Studies Using SAS and R","","","","10.1007/978-1-4842-3525-6_1","Deepti Gupta","2018","http://link.springer.com/chapter/10.1007/978-1-4842-3525-6_1","Chapter"
"Consumer dynamics: theories, methods, and emerging directions","Journal of the Academy of Marketing Science","","","","10.1007/s11747-020-00720-8","Jonathan Z. ZhangChun-Wei Chang","2020","http://link.springer.com/article/10.1007/s11747-020-00720-8","Article"
"Rule Extraction from Support Vector Machine Using Modified Active Learning Based Approach: An Application to CRM","Knowledge-Based and Intelligent Information and Engineering Systems","","","","10.1007/978-3-642-15387-7_50","M. A. H. FarquadV. RaviS. Bapi Raju","2010","http://link.springer.com/chapter/10.1007/978-3-642-15387-7_50","Chapter"
"A Graph-Based Churn Prediction Model for Mobile Telecom Networks","Advanced Data Mining and Applications","","","","10.1007/978-3-642-35527-1_31","M. SaravananG. S. Vijay Raajaa","2012","http://link.springer.com/chapter/10.1007/978-3-642-35527-1_31","Chapter"
"The Predictive Modeling Process","Database Marketing","","","","10.1007/978-0-387-72579-6_10","Robert C. BlattbergByung-Do KimScott A. Neslin","2008","http://link.springer.com/chapter/10.1007/978-0-387-72579-6_10","Chapter"
"Call Churn Prediction with PySpark","Soft Computing for Problem Solving","","","","10.1007/978-981-15-0184-5_67","Mark Sheridan NonghulooRangapuram Aravind ReddyGanji ManideepM. R. SarathVamsiK. Lavanya","2020","http://link.springer.com/chapter/10.1007/978-981-15-0184-5_67","Chapter"
"Preventing Churn in Telecommunications: The Forgotten Network","Advances in Intelligent Data Analysis XII","","","","10.1007/978-3-642-41398-8_31","Dejan RadosavljevikPeter van der Putten","2013","http://link.springer.com/chapter/10.1007/978-3-642-41398-8_31","Chapter"
"Towards a Large Scale Practical Churn Model for Prepaid Mobile Markets","Advances in Data Mining. Applications and Theoretical Aspects","","","","10.1007/978-3-319-62701-4_8","Amit Kumar MeherJobin WilsonR. Prashanth","2017","http://link.springer.com/chapter/10.1007/978-3-319-62701-4_8","Chapter"
"Bayesian Network Approach to Predict Mobile Churn Motivations: Emphasis on General Bayesian Network, Markov Blanket, and What-If Simulation","Future Generation Information Technology","","","","10.1007/978-3-642-17569-5_30","Kun Chang LeeNam Yong Jo","2010","http://link.springer.com/chapter/10.1007/978-3-642-17569-5_30","Chapter"
"AI Capabilities Framework","The Executive Guide to Artificial Intelligence","","","","10.1007/978-3-319-63820-1_3","Andrew Burgess","2018","http://link.springer.com/chapter/10.1007/978-3-319-63820-1_3","Chapter"
"Rough Sets for Modeling Interstate Conflict","Militarized Conflict Modeling Using Computational Intelligence","","","","10.1007/978-0-85729-790-7_7","Tshilidzi MarwalaDr. Monica Lagazio","2011","http://link.springer.com/chapter/10.1007/978-0-85729-790-7_7","Chapter"
"Optimum profit-driven churn decision making: innovative artificial neural networks in telecom industry","Neural Computing and Applications","","","","10.1007/s00521-020-04850-6","Ruholla Jafari-MarandiJoshua DentonAdnan IdrisBrian K. SmithAbbas Keramati","2020","http://link.springer.com/article/10.1007/s00521-020-04850-6","Article"
"Basic Learning Algorithms","Intelligent Techniques for Data Science","","","","10.1007/978-3-319-29206-9_3","Rajendra AkerkarPriti Srinivas Sajja","2016","http://link.springer.com/chapter/10.1007/978-3-319-29206-9_3","Chapter"
"A support vector machine (SVM) approach to imbalanced datasets of customer responses: comparison with other customer response models","Service Business","","7","1","10.1007/s11628-012-0147-9","Gitae KimBongsug Kevin ChaeDavid L. Olson","2013","http://link.springer.com/article/10.1007/s11628-012-0147-9","Article"
"Models of Customer Value","Handbook of Marketing Decision Models","","","","10.1007/978-0-387-78213-3_8","Sunil GuptaDonald R. Lehmann","2008","http://link.springer.com/chapter/10.1007/978-0-387-78213-3_8","Chapter"
"Applications of Intelligent Technologies in Retail Marketing","Retailing in the 21st Century","","","","10.1007/3-540-28433-8_9","Vadlamani RaviKalyan RamanMurali K. Mantrala","2006","http://link.springer.com/chapter/10.1007/3-540-28433-8_9","Chapter"
"Applications of Intelligent Technologies in Retail Marketing","Retailing in the 21st Century","","","","10.1007/978-3-540-72003-4_11","Vadlamani RaviKalyan RamanMurali K. Mantrala","2010","http://link.springer.com/chapter/10.1007/978-3-540-72003-4_11","Chapter"
"Rough Sets for Condition Monitoring","Condition Monitoring Using Computational Intelligence Methods","","","","10.1007/978-1-4471-2380-4_8","Tshilidzi Marwala","2012","http://link.springer.com/chapter/10.1007/978-1-4471-2380-4_8","Chapter"
"Utilizing Customers’ Purchase and Contract Renewal Details to Predict Defection in the Cloud Software Industry","Knowledge Management and Acquisition for Smart Systems and Services","","","","10.1007/978-3-319-13332-4_12","Niken Prasasti MartonoKatsutoshi KanamoriHayato Ohwada","2014","http://link.springer.com/chapter/10.1007/978-3-319-13332-4_12","Chapter"
"A Study of App User Behaviours: Transitions from Freemium to Premium","HCI in Business, Government, and Organizations","","","","10.1007/978-3-319-91716-0_31","Christopher MulliganCarlito Vera CruzDonagh HealyDavid MurphyMargeret HallQuinn NelsonSimon Caton","2018","http://link.springer.com/chapter/10.1007/978-3-319-91716-0_31","Chapter"
"A Non-sequential Representation of Sequential Data for Churn Prediction","Knowledge-Based and Intelligent Information and Engineering Systems","","","","10.1007/978-3-642-04595-0_26","Mark EastwoodBogdan Gabrys","2009","http://link.springer.com/chapter/10.1007/978-3-642-04595-0_26","Chapter"
"Ranking Cases with Classification Rules","Preference Learning","","","","10.1007/978-3-642-14125-6_8","Jianping ZhangJerzy W. BalaAli HadjarianBrent Han","2011","http://link.springer.com/chapter/10.1007/978-3-642-14125-6_8","Chapter"
"Using Support Vector Machine for the Prediction of Unpaid Credit Card Debts","Intelligent and Fuzzy Techniques in Big Data Analytics and Decision Making","","","","10.1007/978-3-030-23756-1_47","Meltem YontarÖzge Hüsniye Namlı DağSeda Yanık","2020","http://link.springer.com/chapter/10.1007/978-3-030-23756-1_47","Chapter"
"Introducing Clustering with a Focus in Marketing and Consumer Analysis","Business and Consumer Analytics: New Ideas","","","","10.1007/978-3-030-06222-4_3","Natalie Jane de VriesŁukasz P. OlechPablo Moscato","2019","http://link.springer.com/chapter/10.1007/978-3-030-06222-4_3","Chapter"
"Business-to-Business Client Relationships in the Cloud Computing Software as a Service Realm","Industry Trends in Cloud Computing","","","","10.1007/978-3-319-63994-9_5","David DempseyFelicity Kelliher","2018","http://link.springer.com/chapter/10.1007/978-3-319-63994-9_5","Chapter"
"Customer-Centric Decision Support","Business & Information Systems Engineering","","2","2","10.1007/s12599-010-0094-8","Dr. Stefan LessmannProf. Dr. Stefan Voß","2010","http://link.springer.com/article/10.1007/s12599-010-0094-8","Article"
"Intelligent churn prediction in telecom: employing mRMR feature selection and RotBoost based ensemble classification","Applied Intelligence","","39","3","10.1007/s10489-013-0440-x","Adnan IdrisAsifullah KhanYeon Soo Lee","2013","http://link.springer.com/article/10.1007/s10489-013-0440-x","Article"
"Marketing of Media and Information","Managing Media and Digital Organizations","","","","10.1007/978-3-319-71288-8_10","Eli M. Noam","2019","http://link.springer.com/chapter/10.1007/978-3-319-71288-8_10","Chapter"
"Soft Computing Based Decision Making and DSS","Soft Computing and its Applications in Business and Economics","","","","10.1007/978-3-540-44429-9_5","Professor Rafik Aziz AlievProfessor Bijan FazlollahiProfessor Rashad Rafik Aliev","2004","http://link.springer.com/chapter/10.1007/978-3-540-44429-9_5","Chapter"
"Rough Sets Approach to Economic Modeling: Unlocking Knowledge in Financial Data","Economic Modeling Using Artificial Intelligence Methods","","","","10.1007/978-1-4471-5010-7_6","Tshilidzi Marwala","2013","http://link.springer.com/chapter/10.1007/978-1-4471-5010-7_6","Chapter"
"Marketing Models for the Customer-Centric Firm","Handbook of Marketing Decision Models","","","","10.1007/978-3-319-56941-3_10","Eva AscarzaPeter S. FaderBruce G. S. Hardie","2017","http://link.springer.com/chapter/10.1007/978-3-319-56941-3_10","Chapter"
"Predicting the customer’s opinion on amazon products using selective memory architecture-based convolutional neural network","The Journal of Supercomputing","","76","8","10.1007/s11227-019-03081-4","Trupthi MandhulaSuresh PabbojuNarsimha Gugulotu","2020","http://link.springer.com/article/10.1007/s11227-019-03081-4","Article"
"Intelligent data analysis approaches to churn as a business problem: a survey","Knowledge and Information Systems","","51","3","10.1007/s10115-016-0995-z","David L. GarcíaÀngela NebotAlfredo Vellido","2017","http://link.springer.com/article/10.1007/s10115-016-0995-z","Article"
"Clustering Bank Customer Complaints on Social Media for Analytical CRM via Multi-objective Particle Swarm Optimization","Nature Inspired Computing for Data Science","","","","10.1007/978-3-030-33820-6_9","Rohit GavvalVadlamani Ravi","2020","http://link.springer.com/chapter/10.1007/978-3-030-33820-6_9","Chapter"
"Extracting optimal actionable plans from additive tree models","Frontiers of Computer Science","","11","1","10.1007/s11704-016-5273-4","Qiang LuZhicheng CuiYixin ChenXiaoping Chen","2017","http://link.springer.com/article/10.1007/s11704-016-5273-4","Article"
"Improving Tree-Based Classification Rules Using a Particle Swarm Optimization","Advances in Production Management Systems. Competitive Manufacturing for Innovative Products and Services","","","","10.1007/978-3-642-40361-3_2","Chi-Hyuck JunYun-Ju ChoHyeseon Lee","2013","http://link.springer.com/chapter/10.1007/978-3-642-40361-3_2","Chapter"
"Big Data 2.0 Processing Systems: Taxonomy and Open Challenges","Journal of Grid Computing","","14","3","10.1007/s10723-016-9371-1","Fuad BajaberRadwa ElshawiOmar BatarfiAbdulrahman AltalhiAhmed BarnawiSherif Sakr","2016","http://link.springer.com/article/10.1007/s10723-016-9371-1","Article"
"Pillars of artificial intelligence","Reverse Engineering the Mind","","","","10.1007/978-3-658-16176-7_2","Florian Neukart","2017","http://link.springer.com/chapter/10.1007/978-3-658-16176-7_2","Chapter"
"Topics in Substance of Data Analysis","Core Data Analysis: Summarization, Correlation, and Visualization","","","","10.1007/978-3-030-00271-8_1","Boris Mirkin","2019","http://link.springer.com/chapter/10.1007/978-3-030-00271-8_1","Chapter"
"Bregman Bubble Clustering: A Robust Framework for Mining Dense Clusters","Data Mining: Foundations and Intelligent Paradigms","","","","10.1007/978-3-642-23166-7_7","Joydeep GhoshGunjan Gupta","2012","http://link.springer.com/chapter/10.1007/978-3-642-23166-7_7","Chapter"
"A model to analyze the challenge of using cyber insurance","Information Systems Frontiers","","21","2","10.1007/s10796-017-9737-3","Tridib BandyopadhyayVijay Mookerjee","2019","http://link.springer.com/article/10.1007/s10796-017-9737-3","Article"
"An Application of Locally Linear Model Tree Algorithm for Predictive Accuracy of Credit Scoring","Model and Data Engineering","","","","10.1007/978-3-642-24443-8_15","Mohammad SiamiMohammad Reza GholamianJavad BasiriMohammad Fathian","2011","http://link.springer.com/chapter/10.1007/978-3-642-24443-8_15","Chapter"
"Applying CHAID for logistic regression diagnostics and classification accuracy improvement","Journal of Targeting, Measurement and Analysis for Marketing","","18","2","10.1057/jt.2010.3","Evgeny AntipovElena Pokryshevskaya","2010","http://link.springer.com/article/10.1057/jt.2010.3","Article"
"Advanced Solutions","Digital Insurance","","","","10.1057/9781137553270_5","Bernardo Nicoletti","2016","http://link.springer.com/chapter/10.1057/9781137553270_5","Chapter"
"Learning from users: a data-driven method of QoE evaluation for Internet video","Multimedia Tools and Applications","","77","20","10.1007/s11042-018-5918-4","Ting YueHongbo WangShiduan Cheng","2018","http://link.springer.com/article/10.1007/s11042-018-5918-4","Article"
"Forecasting and operational research: a review","Journal of the Operational Research Society","","59","9","10.1057/palgrave.jors.2602597","R FildesK NikolopoulosS F CroneA A Syntetos","2008","http://link.springer.com/article/10.1057/palgrave.jors.2602597","Article"
"Discriminant Analysis and Other Linear Classification Models","Applied Predictive Modeling","","","","10.1007/978-1-4614-6849-3_12","Max KuhnKjell Johnson","2013","http://link.springer.com/chapter/10.1007/978-1-4614-6849-3_12","Chapter"
"A Fuzzy-Based Approach to Survival Data Mining","Fifty Years of Fuzzy Logic and its Applications","","","","10.1007/978-3-319-19683-1_18","Mark LastHezi Halpert","2015","http://link.springer.com/chapter/10.1007/978-3-319-19683-1_18","Chapter"
"The Strategic Business Value of Big Data","Big Data Management","","","","10.1007/978-3-319-45498-6_3","Marco SerratoJorge Ramirez","2017","http://link.springer.com/chapter/10.1007/978-3-319-45498-6_3","Chapter"
"Knowledge discovery standards","Artificial Intelligence Review","","27","1","10.1007/s10462-008-9067-4","Sarabjot Singh AnandMarko GrobelnikFrank HerrmannMark HornickChristoph LingenfelderNiall RooneyDietrich Wettschereck","2007","http://link.springer.com/article/10.1007/s10462-008-9067-4","Article"
"How to Build the Right Digital Enterprise for Payoff and Monetization","Building the Digital Enterprise","","","","10.1057/9781137477729_5","Mark Skilton","2015","http://link.springer.com/chapter/10.1057/9781137477729_5","Chapter"
"Social network analysis in Telecom data","Journal of Big Data","","6","1","10.1186/s40537-019-0264-6","Nour Raeef Al-MolhemYasser RahalMustapha Dakkak","2019","http://link.springer.com/article/10.1186/s40537-019-0264-6","Article"
"Mining Customer Behavior in Trial Period of a Web Application Usage—Case Study","Artificial Intelligence Perspectives in Intelligent Systems","","","","10.1007/978-3-319-33625-1_30","Goran MatoševićVanja Bevanda","2016","http://link.springer.com/chapter/10.1007/978-3-319-33625-1_30","Chapter"
"Nonlinear Classification Models","Applied Predictive Modeling","","","","10.1007/978-1-4614-6849-3_13","Max KuhnKjell Johnson","2013","http://link.springer.com/chapter/10.1007/978-1-4614-6849-3_13","Chapter"
"The Price of Privacy","Business & Information Systems Engineering","","61","4","10.1007/s12599-018-0528-2","Annika BaumannJohannes HauptFabian GebertStefan Lessmann","2019","http://link.springer.com/article/10.1007/s12599-018-0528-2","Article"
"The DataOps Factory","Practical DataOps","","","","10.1007/978-1-4842-5104-1_10","Harvinder Atwal","2020","http://link.springer.com/chapter/10.1007/978-1-4842-5104-1_10","Chapter"
"Choice Models and Customer Relationship Management","Marketing Letters","","16","3 - 4","10.1007/s11002-005-5892-2","Wagner KamakuraCarl F. MelaAsim AnsariAnand BodapatiPete FaderRaghuram IyengarPrasad NaikScott NeslinBaohong SunPeter C. VerhoefMichel WedelRon Wilcox","2005","http://link.springer.com/article/10.1007/s11002-005-5892-2","Article"
"Predictive Modeling on Multiple Marketing Objectives Using Evolutionary Computation","Marketing Intelligent Systems Using Soft Computing","","","","10.1007/978-3-642-15606-9_13","Siddhartha Bhattacharyya","2010","http://link.springer.com/chapter/10.1007/978-3-642-15606-9_13","Chapter"
"Creating Growth Trajectories","Scaling Your Startup","","","","10.1007/978-1-4842-4312-1_2","Peter S. Cohan","2019","http://link.springer.com/chapter/10.1007/978-1-4842-4312-1_2","Chapter"
"Application-Level Benchmarking of Big Data Systems","Big Data Analytics","","","","10.1007/978-81-322-3628-3_10","Chaitanya BaruTilmann Rabl","2016","http://link.springer.com/chapter/10.1007/978-81-322-3628-3_10","Chapter"
"Community Discovery in Social Networks: Applications, Methods and Emerging Trends","Social Network Data Analytics","","","","10.1007/978-1-4419-8462-3_4","S. ParthasarathyY. RuanV. Satuluri","2011","http://link.springer.com/chapter/10.1007/978-1-4419-8462-3_4","Chapter"
"Statistical Modelling","Applied Data Science","","","","10.1007/978-3-030-11821-1_11","Marcel DettlingAndreas Ruckstuhl","2019","http://link.springer.com/chapter/10.1007/978-3-030-11821-1_11","Chapter"
"Evaluating the impact of service quality on the dynamics of customer satisfaction in the telecommunication industry of Jorhat, Assam","Telecommunication Systems","","71","1","10.1007/s11235-018-0514-5","Syed Abou Iltaf HussainDebasish BaruahBapi DuttaUttam Kumar MandalSankar Prasad MondalThuleswar Nath","2019","http://link.springer.com/article/10.1007/s11235-018-0514-5","Article"
